File,Total Reads,Aligned Reads,per.aligned,Unaligned Reads,Ambiguously Aligned Reads,No Genomic Sequence,Duplicate Reads (removed),Unique Reads (remaining),Total Cs,Methylated CpGs,Unmethylated CpGs,Methylated chgs,Unmethylated chgs,Methylated CHHs,Unmethylated CHHs
C21_control_1_val_1_bismark_bt2_pe.bam,16180892,7680769,47.46814329,8051049,449062,12,1488066,6192703,208458181,28278250,745234,38468910,559880,137914992,2490915
C25_control_1_val_1_bismark_bt2_pe.bam,28760883,7134124,24.8049547,21134040,492718,1,1681472,5452652,183565704,25411585,687521,34124283,497040,120661581,2183694
C28_control_1_val_1_bismark_bt2_pe.bam,22976033,5768110,25.10489953,16814770,393145,8,1328967,4439143,149161845,20503913,543294,27712625,404953,98246122,1750938
E12_enriched_1_val_1_bismark_bt2_pe.bam,27303480,7010285,25.67542672,19888014,405177,4,1472045,5538240,184716459,25657900,651802,34341298,486913,121447525,2131021
C31_control_1_val_1_bismark_bt2_pe.bam,24254261,13005496,53.62148944,10456417,792337,11,3214522,9790974,330069057,45580343,1190798,60844098,904384,217602458,3946976
E1_enriched_1_val_1_bismark_bt2_pe.bam,24792142,6590855,26.58445164,17807002,394283,2,1474804,5116051,171612758,24457262,600161,31785165,447945,112417738,1904487
C27_control_1_val_1_bismark_bt2_pe.bam,24025785,5863681,24.4057832,17770625,391478,1,1525195,4338486,153213799,21777379,528642,28369311,391551,100409005,1737911
C32_control_1_val_1_bismark_bt2_pe.bam,26164078,6542535,25.00579229,19027332,594209,2,1751274,4791261,160897349,22615225,579635,29869125,422381,105541293,1869690
,,,,,,,,,,,,,,,
,,,,,,,,,1541695152,214281857,,,,,
,,,,,,,,,,0.138991069,13.89910688,,,,
,,,,,,,,,,,,,,,
,,31.5838676,,,,,,,,,,,,,
