"","slim_term","slim_cat","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","genes"
"1","DNA binding","GO:0003677","GO:0000978",0.0289727093694421,0.99021077494621,7,301,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF",1,"Pver_g115, Pver_g166, Pver_g172, Pver_g275, Pver_g420, Pver_g424, Pver_g461, Pver_g465, Pver_g539, Pver_g574, Pver_g580, Pver_g714, Pver_g735, Pver_g764, Pver_g822, Pver_g825, Pver_g1011, Pver_g1192, Pver_g1259, Pver_g1279, Pver_g1515, Pver_g1516, Pver_g1517, Pver_g1518, Pver_g1519, Pver_g1546, Pver_g1755, Pver_g1864, Pver_g1866, Pver_g2058, Pver_g2069, Pver_g2249, Pver_g2250, Pver_g2301, Pver_g2427, Pver_g2479, Pver_g2488, Pver_g2510, Pver_g2540, Pver_g2748, Pver_g2776, Pver_g2874, Pver_g2875, Pver_g2884, Pver_g2901, Pver_g2929, Pver_g3117, Pver_g3121, Pver_g3122, Pver_g3127, Pver_g3152, Pver_g3154, Pver_g3246, Pver_g3401, Pver_g3648, Pver_g3666, Pver_g3755, Pver_g3838, Pver_g3839, Pver_g3993, Pver_g3994, Pver_g3997, Pver_g4010, Pver_g4019, Pver_g4020, Pver_g4278, Pver_g4391, Pver_g4453, Pver_g4532, Pver_g4548, Pver_g4606, Pver_g4684, Pver_g4747, Pver_g4845, Pver_g5000, Pver_g5054, Pver_g5061, Pver_g5081, Pver_g5174, Pver_g5234, Pver_g5341, Pver_g5420, Pver_g5466, Pver_g5483, Pver_g5600, Pver_g5601, Pver_g5654, Pver_g5655, Pver_g5656, Pver_g5708, Pver_g5715, Pver_g5739, Pver_g5740, Pver_g5865, Pver_g5928, Pver_g6015, Pver_g6163, Pver_g6236, Pver_g6262, Pver_g6263, Pver_g6264, Pver_g6266, Pver_g6493, Pver_g6609, Pver_g6693, Pver_g6713, Pver_g6714, Pver_g6715, Pver_g6841, Pver_g6871, Pver_g6906, Pver_g6917, Pver_g7120, Pver_g7283, Pver_g7384, Pver_g7385, Pver_g7420, Pver_g7424, Pver_g7429, Pver_g7471, Pver_g7482, Pver_g7535, Pver_g7607, Pver_g7711, Pver_g7746, Pver_g7801, Pver_g7824, Pver_g7825, Pver_g7826, Pver_g7827, Pver_g7847, Pver_g7882, Pver_g7938, Pver_g8046, Pver_g8164, Pver_g8260, Pver_g8325, Pver_g8441, Pver_g8541, Pver_g8642, Pver_g8798, Pver_g8837, Pver_g8960, Pver_g8969, Pver_g8991, Pver_g8992, Pver_g8993, Pver_g8994, Pver_g9101, Pver_g9102, Pver_g9103, Pver_g9111, Pver_g9248, Pver_g9250, Pver_g9252, Pver_g9329, Pver_g9354, Pver_g9418, Pver_g9444, Pver_g9626, Pver_g9644, Pver_g9667, Pver_g9715, Pver_g9773, Pver_g9943, Pver_g9971, Pver_g9999, Pver_g10028, Pver_g10029, Pver_g10031, Pver_g10195, Pver_g10259, Pver_g10445, Pver_g10454, Pver_g10627, Pver_g10768, Pver_g10772, Pver_g10876, Pver_g10922, Pver_g10963, Pver_g11153, Pver_g11162, Pver_g11341, Pver_g11471, Pver_g11513, Pver_g11550, Pver_g11630, Pver_g11754, Pver_g11792, Pver_g11801, Pver_g11830, Pver_g11983, Pver_g12012, Pver_g12042, Pver_g12043, Pver_g12044, Pver_g12087, Pver_g12112, Pver_g12218, Pver_g12219, Pver_g12371, Pver_g12373, Pver_g12407, Pver_g12554, Pver_g12569, Pver_g12775, Pver_g12881, Pver_g12924, Pver_g12949, Pver_g12992, Pver_g13129, Pver_g13134, Pver_g13171, Pver_g13389, Pver_g13405, Pver_g13407, Pver_g13408, Pver_g13472, Pver_g13735, Pver_g13870, Pver_g13897, Pver_g13942, Pver_g14034, Pver_g14035, Pver_g14064, Pver_g14065, Pver_g14232, Pver_g14293, Pver_g14296, Pver_g14392, Pver_g14693, Pver_g14731, Pver_g14809, Pver_g14823, Pver_g14993, Pver_g14995, Pver_g15051, Pver_g15185, Pver_g15240, Pver_g15478, Pver_g15561, Pver_g15642, Pver_g15643, Pver_g15701, Pver_g15706, Pver_g15722, Pver_g15811, Pver_g15824, Pver_g15836, Pver_g15842, Pver_g15873, Pver_g15902, Pver_g15903, Pver_g15904, Pver_g15906, Pver_g16237, Pver_g16508, Pver_g16604, Pver_g16743, Pver_g16744, Pver_g16790, Pver_g17020, Pver_g17021, Pver_g17022, Pver_g17023, Pver_g17154, Pver_g17233, Pver_g17800, Pver_g17855, Pver_g18502, Pver_g18905, Pver_g19011, Pver_g19147, Pver_g19891, Pver_g20480, Pver_g20819, Pver_g22646, Pver_g22765, Pver_g22958, Pver_g23024, Pver_g23058, Pver_g23059, Pver_g23329, Pver_g24473, Pver_g25687, Pver_g25772, Pver_g25803, Pver_g25819, Pver_g25884, Pver_g26009, Pver_g26105, Pver_g26166, Pver_g26194, Pver_g26225, Pver_g26231, Pver_g26463, Pver_novel_model_171_5de57afd, Pver_novel_model_551_5de57afd, Pver_novel_model_823_5de57afd, Pver_g4317, Pver_g10316, Pver_g10830, Pver_g3503, Pver_g18237"
"2","DNA binding","GO:0003677","GO:0001162",0.0480722352977028,0.9990610087203,1,5,"RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding","MF",1,"Pver_g3122, Pver_g11471, Pver_g14173, Pver_g16604, Pver_g26009"
"3","DNA repair","GO:0006281","GO:2001033",0.0241297359474872,0.999853229782027,1,2,"negative regulation of double-strand break repair via nonhomologous end joining","BP",1,"Pver_g15300, Pver_g16604"
"4","DNA replication","GO:0006260","GO:0032875",0.0359447257618312,0.999563995580668,1,3,"regulation of DNA endoreduplication","BP",1,"Pver_g5996, Pver_g9424, Pver_g10194"
"5","DNA-templated transcription","GO:0006351","GO:0036003",0.0350456453106365,0.999585704855807,1,3,"positive regulation of transcription from RNA polymerase II promoter in response to stress","BP",1,"Pver_g5000, Pver_g8588, Pver_g17677"
"6","DNA-templated transcription","GO:0006351","GO:0061408",0.0269197130754109,0.999756459164356,1,3,"positive regulation of transcription from RNA polymerase II promoter in response to heat stress","BP",1,"Pver_g16604, Pver_g17018, Pver_g21448"
"7","DNA-templated transcription","GO:0006351","GO:1901838",0.000134469009868934,0.99999760219202,3,9,"positive regulation of transcription of nucleolar large rRNA by RNA polymerase I","BP",0.569207318775199,"Pver_g201, Pver_g1259, Pver_g8459, Pver_g10284, Pver_g10913, Pver_g12577, Pver_g13134, Pver_g14740, Pver_g17318"
"8","anatomical structure development","GO:0048856","GO:0003428",0.0231484707709921,0.999864991961284,1,2,"chondrocyte intercalation involved in growth plate cartilage morphogenesis","BP",1,"Pver_g7570, Pver_g17111"
"9","anatomical structure development","GO:0048856","GO:0007310",0.0189099011284589,0.999910101034951,1,2,"oocyte dorsal/ventral axis specification","BP",1,"Pver_g6870, Pver_g18480"
"10","anatomical structure development","GO:0048856","GO:0007350",0.0256638723726583,0.99977877854955,1,3,"blastoderm segmentation","BP",1,"Pver_g6870, Pver_g9943, Pver_g15125"
