"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"130","GO:0030154",0.0250832461664194,0.991040186790841,8,327,"cell differentiation","BP",1
"219","GO:0051716",0.00139258192131289,0.999697054744445,8,205,"cellular response to stimulus","BP",1
"70","GO:0009628",0.00415559076387416,0.999175688456041,6,141,"response to abiotic stimulus","BP",1
"182","GO:0042221",0.0434598096087834,0.985507709343451,6,236,"response to chemical","BP",1
"54","GO:0006955",0.013549620586844,0.997077353240226,5,136,"immune response","BP",1
"60","GO:0007264",0.00443974974309006,0.999462630771318,4,60,"small GTPase mediated signal transduction","BP",1
"207","GO:0048646",0.0479936732462712,0.988007513954289,4,123,"anatomical structure formation involved in morphogenesis","BP",1
"49","GO:0006633",0.0125966744765192,0.998603734243501,3,50,"fatty acid biosynthetic process","BP",1
"51","GO:0006750",0.00887085752311918,0.999145020707922,3,39,"glutathione biosynthetic process","BP",1
"52","GO:0006865",0.00931154550198925,0.9990811537923,3,44,"amino acid transport","BP",1
"63","GO:0008286",0.00819438095543672,0.999232703527418,3,39,"insulin receptor signaling pathway","BP",1
"69","GO:0009408",0.0318678059015884,0.994938288540933,3,69,"response to heat","BP",1
"116","GO:0021537",0.00803646683432793,0.999253820994456,3,38,"telencephalon development","BP",1
"133","GO:0030178",0.00368502619545193,0.999745258530115,3,30,"negative regulation of Wnt signaling pathway","BP",1
"135","GO:0030301",0.00198547727359717,0.999892155217027,3,23,"cholesterol transport","BP",1
"155","GO:0032691",0.0322346857014407,0.99485170343545,3,72,"negative regulation of interleukin-1 beta production","BP",1
"170","GO:0035095",0.00150278253475348,0.999927077661973,3,20,"behavioral response to nicotine","BP",1
"180","GO:0042110",0.038860439289548,0.993312486924967,3,79,"T cell activation","BP",1
"185","GO:0042593",0.0441701198077138,0.992017825052404,3,75,"glucose homeostasis","BP",1
"199","GO:0045746",0.00592653759084053,0.999505792867394,3,40,"negative regulation of Notch signaling pathway","BP",1
"218","GO:0051606",0.0127418099770958,0.99858926144853,3,44,"detection of stimulus","BP",1
"262","GO:0097242",0.000644783829046549,0.999977387052987,3,16,"amyloid-beta clearance","BP",1
"263","GO:0098662",0.046029313137931,0.991548489763108,3,74,"inorganic cation transmembrane transport","BP",1
"277","GO:1901838",0.000134469009868934,0.99999760219202,3,9,"positive regulation of transcription of nucleolar large rRNA by RNA polymerase I","BP",0.569207318775199
"6","GO:0001505",0.0168368512844144,0.999004093206105,2,20,"regulation of neurotransmitter levels","BP",1
"50","GO:0006654",0.0177959697132609,0.998916127906964,2,20,"phosphatidic acid biosynthetic process","BP",1
"53","GO:0006911",0.016571394960217,0.999032120081362,2,19,"phagocytosis, engulfment","BP",1
"57","GO:0007141",0.0216263124070886,0.998539538287049,2,20,"male meiosis I","BP",1
"67","GO:0009072",0.0046909121928866,0.99986931050295,2,10,"aromatic amino acid family metabolic process","BP",1
"73","GO:0009914",0.0422798295127685,0.995798052454592,2,30,"hormone transport","BP",1
"74","GO:0009954",0.020739225857413,0.998630252983755,2,20,"proximal/distal pattern formation","BP",1
"83","GO:0010744",0.000807616384867207,0.999992685609585,2,5,"positive regulation of macrophage derived foam cell differentiation","BP",1
"85","GO:0010886",0.00129589087904373,0.999983768258294,2,6,"positive regulation of cholesterol storage","BP",1
"86","GO:0014032",0.0236591638546465,0.998311824039007,2,22,"neural crest cell development","BP",1
"87","GO:0014037",0.00984921588222467,0.999579702494483,2,13,"Schwann cell differentiation","BP",1
"92","GO:0015755",0.00189678192624449,0.99997115479395,2,6,"fructose transmembrane transport","BP",1
"97","GO:0016574",0.00595646868847035,0.999809073239987,2,11,"histone ubiquitination","BP",1
"108","GO:0019370",0.00213067317775485,0.999965616138555,2,6,"leukotriene biosynthetic process","BP",1
"111","GO:0019835",0.0314464115813021,0.997315029826488,2,36,"cytolysis","BP",1
"113","GO:0019953",0.0457707219565573,0.995234959938002,2,32,"sexual reproduction","BP",1
"139","GO:0031145",0.00744620813998211,0.99972523720768,2,13,"anaphase-promoting complex-dependent catabolic process","BP",1
"140","GO:0031334",0.024853121838675,0.998179454617244,2,22,"positive regulation of protein-containing complex assembly","BP",1
"145","GO:0031638",0.0363422653401334,0.996691733059221,2,27,"zymogen activation","BP",1
"150","GO:0032094",0.0456057611380774,0.995276198027521,2,30,"response to food","BP",1
