"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"7665","GO:0034362",5.57709495012803e-05,1,2,2,"low-density lipoprotein particle","CC",0.373474725468001
"15182","GO:1901838",7.39297936648336e-05,0.999998926475316,3,9,"positive regulation of transcription of nucleolar large rRNA by RNA polymerase I","BP",0.373474725468001
"12623","GO:0070219",8.82293232856132e-05,1,2,2,"intracellular sulfide ion homeostasis","BP",0.373474725468001
"12625","GO:0070224",8.82293232856132e-05,1,2,2,"sulfide:quinone oxidoreductase activity","MF",0.373474725468001
"13901","GO:0097027",0.000219917336383188,0.99999480165118,3,14,"ubiquitin-protein transferase activator activity","MF",0.657861017078694
"12847","GO:0070813",0.000253274864890611,0.999999222589084,2,3,"hydrogen sulfide metabolic process","BP",0.657861017078694
"1998","GO:0005536",0.000271971835551078,0.999992999903713,3,15,"glucose binding","MF",0.657861017078694
"14009","GO:0097242",0.000368606073346319,0.999989356890726,3,16,"amyloid-beta clearance","BP",0.780154754237484
"12624","GO:0070221",0.000531341628752261,0.999996650468103,2,4,"sulfide oxidation, using sulfide:quinone oxidoreductase","BP",0.882535874961965
"11732","GO:0060084",0.000553698859821245,0.999996435958042,2,4,"synaptic transmission involved in micturition","BP",0.882535874961965
"4337","GO:0010744",0.000573346009011435,0.999995639487505,2,5,"positive regulation of macrophage derived foam cell differentiation","BP",0.882535874961965
"14302","GO:0098849",0.000633146889904759,0.999994936785699,2,5,"cellular detoxification of cadmium ion","BP",0.893370261655615
"7889","GO:0035095",0.00085703259363321,0.999965859173872,3,20,"behavioral response to nicotine","BP",0.975351737097156
"14235","GO:0098691",0.000875420772098635,0.999991750424333,2,5,"dopaminergic synapse","CC",0.975351737097156
"4412","GO:0010886",0.000915768464923764,0.999990394518909,2,6,"positive regulation of cholesterol storage","BP",0.975351737097156
"7672","GO:0034381",0.000921664764561451,0.999990301161592,2,6,"plasma lipoprotein particle clearance","BP",0.975351737097156
"6197","GO:0030301",0.00113754585209442,0.999949233647606,3,23,"cholesterol transport","BP",1
"1947","GO:0005353",0.0012951456322559,0.999983801384664,2,6,"fructose transmembrane transporter activity","MF",1
"4787","GO:0015755",0.0012951456322559,0.999983801384664,2,6,"fructose transmembrane transport","BP",1
"11168","GO:0051119",0.0012951456322559,0.999983801384664,2,6,"sugar transmembrane transporter activity","MF",1
"11256","GO:0051291",0.00131854998796812,0.999983357806418,2,6,"protein heterooligomerization","BP",1
"5573","GO:0019370",0.00142258297960195,0.999981337603005,2,6,"leukotriene biosynthetic process","BP",1
"2205","GO:0005938",0.00156759028320274,0.999696012684102,7,195,"cell cortex","CC",1
"5993","GO:0022836",0.00188439241942664,0.999820868888599,4,57,"gated channel activity","MF",1
"8486","GO:0038024",0.00251554036762611,0.999848343695848,3,30,"cargo receptor activity","MF",1
"13308","GO:0071949",0.00275188243191773,0.999707173123491,4,71,"FAD binding","MF",1
"9877","GO:0045746",0.00357081241986138,0.999751950844097,3,40,"negative regulation of Notch signaling pathway","BP",1
