"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"7665","GO:0034362",2.25102095512957e-05,1,2,2,"low-density lipoprotein particle","CC",0.361337582395715
"12623","GO:0070219",6.40215418844286e-05,1,2,2,"intracellular sulfide ion homeostasis","BP",0.361337582395715
"12625","GO:0070224",6.40215418844286e-05,1,2,2,"sulfide:quinone oxidoreductase activity","MF",0.361337582395715
"1998","GO:0005536",0.000161613511618045,0.99999652644289,3,15,"glucose binding","MF",0.551389087645108
"12847","GO:0070813",0.000168292287398968,0.999999580361762,2,3,"hydrogen sulfide metabolic process","BP",0.551389087645108
"5998","GO:0022848",0.000206722951201257,0.999989426855922,4,37,"acetylcholine-gated monoatomic cation-selective channel activity","MF",0.551389087645108
"14009","GO:0097242",0.000227954383033059,0.999994430684209,3,16,"amyloid-beta clearance","BP",0.551389087645108
"4337","GO:0010744",0.000288397330444196,0.999998452250165,2,5,"positive regulation of macrophage derived foam cell differentiation","BP",0.61039294988514
"12624","GO:0070221",0.000396706102337809,0.999997846298892,2,4,"sulfide oxidation, using sulfide:quinone oxidoreductase","BP",0.648150126520497
"14302","GO:0098849",0.000397089769295179,0.999997495809982,2,5,"cellular detoxification of cadmium ion","BP",0.648150126520497
"11732","GO:0060084",0.000452292053978606,0.99999737628305,2,4,"synaptic transmission involved in micturition","BP",0.648150126520497
"4412","GO:0010886",0.000485176217732813,0.999996316162561,2,6,"positive regulation of cholesterol storage","BP",0.648150126520497
"7672","GO:0034381",0.000497634753411673,0.99999617286497,2,6,"plasma lipoprotein particle clearance","BP",0.648150126520497
"7889","GO:0035095",0.000570037601398927,0.999980324775889,3,20,"behavioral response to nicotine","BP",0.689419761920474
"14235","GO:0098691",0.000672766193521988,0.999994461389949,2,5,"dopaminergic synapse","CC",0.75941847924762
"11420","GO:0051716",0.000729614903298439,0.999876353096759,7,205,"cellular response to stimulus","BP",0.764393685743617
"6197","GO:0030301",0.00076746353990323,0.99997019146018,3,23,"cholesterol transport","BP",0.764393685743617
"1947","GO:0005353",0.000943042530403523,0.999989976944408,2,6,"fructose transmembrane transporter activity","MF",0.798379806239623
"4787","GO:0015755",0.000943042530403523,0.999989976944408,2,6,"fructose transmembrane transport","BP",0.798379806239623
"11168","GO:0051119",0.000943042530403523,0.999989976944408,2,6,"sugar transmembrane transporter activity","MF",0.798379806239623
"5993","GO:0022836",0.00114392511684127,0.999905327497667,4,57,"gated channel activity","MF",0.922330479921731
"5573","GO:0019370",0.00128133669928553,0.999984087815181,2,6,"leukotriene biosynthetic process","BP",0.98616331783194
"13308","GO:0071949",0.0014318907010284,0.999872952663473,4,71,"FAD binding","MF",1
"8486","GO:0038024",0.00159684517343369,0.999918119879546,3,30,"cargo receptor activity","MF",1
"6003","GO:0022857",0.00183318970738141,0.999583925061531,8,308,"transmembrane transporter activity","MF",1
"4895","GO:0016021",0.00252688659095187,0.998584514978515,45,4481,NA,NA,1
"10981","GO:0050773",0.00261630118425485,0.999946121763819,2,10,"regulation of dendrite development","BP",1
"7407","GO:0033300",0.00270608539502678,0.999943303503547,2,10,"dehydroascorbic acid transmembrane transporter activity","MF",1
"12860","GO:0070837",0.00270608539502678,0.999943303503547,2,10,"dehydroascorbic acid transport","BP",1
"15182","GO:1901838",0.00281157559771445,0.999941213344273,2,9,"positive regulation of transcription of nucleolar large rRNA by RNA polymerase I","BP",1
"8981","GO:0042953",0.00282942042537462,0.99993608772822,2,14,"lipoprotein transport","BP",1
"3342","GO:0008286",0.00294782541459124,0.999809352467916,3,39,"insulin receptor signaling pathway","BP",1
"2766","GO:0006865",0.00311792871363024,0.999793059364093,3,44,"amino acid transport","BP",1
"5781","GO:0021537",0.00323568197345314,0.999784016422287,3,38,"telencephalon development","BP",1
"408","GO:0001540",0.00360239190665146,0.999747822651658,3,46,"amyloid-beta binding","MF",1
"2707","GO:0006750",0.0036502813343864,0.999745323820574,3,39,"glutathione biosynthetic process","BP",1
"6110","GO:0030169",0.00381010776489612,0.999898938143798,2,15,"low-density lipoprotein particle binding","MF",1
"3935","GO:0009628",0.00451785028314747,0.999255253401109,5,141,"response to abiotic stimulus","BP",1
"13901","GO:0097027",0.00466573925136403,0.99986381238062,2,14,"ubiquitin-protein transferase activator activity","MF",1
"12620","GO:0070207",0.00486140647793354,0.999851069358548,2,18,"protein homotrimerization","BP",1
"11379","GO:0051606",0.00500853242180672,0.999606434815522,3,44,"detection of stimulus","BP",1
