"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"6118","GO:0030178",8.62899708212545e-05,0.999998400146626,3,30,"negative regulation of Wnt signaling pathway","BP",1
"5347","GO:0017147",0.00137119419798673,0.999931394383234,3,77,"Wnt-protein binding","MF",1
"15986","GO:1904808",0.00250334818728412,1,1,1,"positive regulation of protein oxidation","BP",1
"13995","GO:0097211",0.00269885841454287,1,1,1,"cellular response to gonadotropin-releasing hormone","BP",1
"14586","GO:0106070",0.00269885841454287,1,1,1,"regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP",1
"15572","GO:1903306",0.00269885841454287,1,1,1,"negative regulation of regulated secretory pathway","BP",1
"4901","GO:0016034",0.00298456244120304,1,1,1,"maleylacetoacetate isomerase activity","MF",1
"6796","GO:0031752",0.0029964882925723,1,1,1,"D5 dopamine receptor binding","MF",1
"16392","GO:1990468",0.00300446461361454,1,1,1,"NuA3b histone acetyltransferase complex","CC",1
"7554","GO:0034038",0.00301068010599426,1,1,1,"deoxyhypusine synthase activity","MF",1
"1406","GO:0004307",0.00302390987148831,1,1,1,"ethanolaminephosphotransferase activity","MF",1
"15680","GO:1903638",0.00302624547361874,1,1,1,"positive regulation of protein insertion into mitochondrial outer membrane","BP",1
"5891","GO:0021858",0.00304444384506149,1,1,1,"GABAergic neuron differentiation in basal ganglia","BP",1
"8950","GO:0042816",0.00304824233451352,1,1,1,"vitamin B6 metabolic process","BP",1
"13351","GO:0072082",0.00304824290683671,1,1,1,"specification of proximal tubule identity","BP",1
"16826","GO:2000820",0.00304824290683671,1,1,1,"negative regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation","BP",1
"5907","GO:0021893",0.00304824558467228,1,1,1,"cerebral cortex GABAergic interneuron fate commitment","BP",1
"15430","GO:1902871",0.00304824558467228,1,1,1,"positive regulation of amacrine cell differentiation","BP",1
"15743","GO:1903845",0.00304824558467228,1,1,1,"negative regulation of cellular response to transforming growth factor beta stimulus","BP",1
"8915","GO:0042752",0.00449860572389699,0.999862596088783,2,38,"regulation of circadian rhythm","BP",1
"6166","GO:0030250",0.00475319210567624,0.999994410946513,1,2,"guanylate cyclase activator activity","MF",1
"4397","GO:0010856",0.00501847339486728,0.999993768833685,1,2,"adenylate cyclase activator activity","MF",1
"5742","GO:0019954",0.00517512369750976,0.99999337322621,1,2,"asexual reproduction","BP",1
"7700","GO:0034455",0.00524002918523907,0.999993205735987,1,2,"t-UTP complex","CC",1
"1242","GO:0003963",0.00543913950982398,0.999992678848885,1,2,"RNA-3'-phosphate cyclase activity","MF",1
"2027","GO:0005634",0.00560360816793382,0.997960837802733,13,2120,"nucleus","CC",1
"10318","GO:0046983",0.00560943637957268,0.999268322028195,4,246,"protein dimerization activity","MF",1
"7966","GO:0035246",0.00561328718979118,0.999992201843261,1,2,"peptidyl-arginine N-methylation","BP",1
"2826","GO:0006968",0.00564222070538368,0.999992121129425,1,2,"cellular defense response","BP",1
"1108","GO:0003428",0.0057186734379136,0.999991905848917,1,2,"chondrocyte intercalation involved in growth plate cartilage morphogenesis","BP",1
"12208","GO:0061122",0.00573154288128453,0.999991869324153,1,2,"positive regulation of positive chemotaxis to cAMP","BP",1
"9167","GO:0043326",0.00573793759848832,0.99999185114464,1,2,"chemotaxis to folate","BP",1
"3515","GO:0008612",0.00586569066323173,0.999991483689253,1,2,"peptidyl-lysine modification to peptidyl-hypusine","BP",1
"13396","GO:0072196",0.00590814776720648,0.999991359770771,1,2,"proximal/distal pattern formation involved in pronephric nephron development","BP",1
"9877","GO:0045746",0.00591047268291395,0.999791847060155,2,40,"negative regulation of Notch signaling pathway","BP",1
"1972","GO:0005483",0.0059697626933107,0.999991178340023,1,2,"soluble NSF attachment protein activity","MF",1
"6742","GO:0031584",0.00601854738646425,0.999991033347783,1,2,"activation of phospholipase D activity","BP",1
"15682","GO:1903645",0.0060339670646607,0.999990987272626,1,2,"negative regulation of chaperone-mediated protein folding","BP",1
"5786","GO:0021544",0.00605052849107672,0.999990937653921,1,2,"subpallium development","BP",1
"3026","GO:0007310",0.00608620947720406,0.99999083028795,1,2,"oocyte dorsal/ventral axis specification","BP",1
"1177","GO:0003865",0.00608729944818,0.999990826998187,1,2,"3-oxo-5-alpha-steroid 4-dehydrogenase activity","MF",1
"5464","GO:0019005",0.00617111385888187,0.999777371192161,2,42,"SCF ubiquitin ligase complex","CC",1
"15900","GO:1904515",0.0077061027667399,0.999980391727089,1,3,"positive regulation of TORC2 signaling","BP",1
