Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M2021102092C7BAECDB1C5C413EE0E0348724B6822441ACZ
A0A3M6T554	A0A3M6T554_POCDA	unreviewed	pdam_00010040	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Homeobox domain-containing protein	540	nucleus [GO:0005634]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]	GO:0003677; GO:0005634; GO:0006355	RMX36478.1
A0A3M6TB48	A0A3M6TB48_POCDA	unreviewed	pdam_00016773	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	229			RMX38484.1
A0A3M6UX73	A0A3M6UX73_POCDA	unreviewed	pdam_00006693	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Carbohydrate sulfotransferase (EC 2.8.2.-)	319	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; sulfotransferase activity [GO:0008146]; carbohydrate biosynthetic process [GO:0016051]	GO:0000139; GO:0008146; GO:0016021; GO:0016051	RMX57918.1
A0A3M6UW64	A0A3M6UW64_POCDA	unreviewed	pdam_00006697	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Alpha-1,3-glucosyltransferase (EC 2.4.1.-)	525	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity [GO:0042283]; oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein glycosylation [GO:0006486]	GO:0005789; GO:0006486; GO:0006490; GO:0016021; GO:0042283	RMX57922.1
A0A3M6UWC3	A0A3M6UWC3_POCDA	unreviewed	pdam_00006712	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein Wnt	380	extracellular region [GO:0005576]; signaling receptor binding [GO:0005102]; multicellular organism development [GO:0007275]; Wnt signaling pathway [GO:0016055]	GO:0005102; GO:0005576; GO:0007275; GO:0016055	RMX57910.1
A0A3M6UWJ7	A0A3M6UWJ7_POCDA	unreviewed	pdam_00006721	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	G_PROTEIN_RECEP_F1_2 domain-containing protein	411	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	RMX57894.1
A0A3M6UAG8	A0A3M6UAG8_POCDA	unreviewed	pdam_00025834	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	580			RMX50647.1
A0A3M6UW36	A0A3M6UW36_POCDA	unreviewed	pdam_00005795	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1637	extracellular region [GO:0005576]; chitin binding [GO:0008061]	GO:0005576; GO:0008061	RMX57548.1
A0A3M6UVF2	A0A3M6UVF2_POCDA	unreviewed	pdam_00005796	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	468			RMX57534.1
A0A3M6UV52	A0A3M6UV52_POCDA	unreviewed	pdam_00005797	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1302	cell adhesion [GO:0007155]	GO:0007155	RMX57552.1
