"","seqid","source","type","start","end","score","strand","phase","gene_id","length"
"1","Pver_Sc0000000_size2095917",".","gene",13766,20466,".","+",".","Pver_g1",6700
"2","Pver_Sc0000000_size2095917",".","gene",26366,29807,".","+",".","Pver_g2",3441
"3","Pver_Sc0000000_size2095917",".","gene",31808,36208,".","+",".","Pver_g3",4400
"4","Pver_Sc0000000_size2095917",".","gene",36766,40614,".","+",".","Pver_g4",3848
"5","Pver_Sc0000000_size2095917","AUGUSTUS","gene",40618,47048,".","-",".","Pver_g5",6430
"6","Pver_Sc0000000_size2095917",".","gene",49972,52223,".","-",".","Pver_g6",2251
"7","Pver_Sc0000000_size2095917",".","gene",60419,69308,".","-",".","Pver_g7",8889
"8","Pver_Sc0000000_size2095917",".","gene",70942,90907,".","-",".","Pver_g8",19965
"9","Pver_Sc0000000_size2095917",".","gene",132606,140689,".","+",".","Pver_g9",8083
"10","Pver_Sc0000000_size2095917",".","gene",145842,174843,".","+",".","Pver_g10",29001
"11","Pver_Sc0000000_size2095917",".","gene",174937,178357,".","-",".","Pver_g11",3420
"12","Pver_Sc0000000_size2095917","AUGUSTUS","gene",180266,186248,".","+",".","Pver_g12",5982
"13","Pver_Sc0000000_size2095917",".","gene",187317,204888,".","-",".","Pver_g13",17571
"14","Pver_Sc0000000_size2095917",".","gene",215282,220826,".","-",".","Pver_g14",5544
"15","Pver_Sc0000000_size2095917",".","gene",226101,235450,".","+",".","Pver_g15",9349
"16","Pver_Sc0000000_size2095917",".","gene",237593,244358,".","-",".","Pver_g16",6765
"17","Pver_Sc0000000_size2095917",".","gene",251916,260925,".","+",".","Pver_g17",9009
"18","Pver_Sc0000000_size2095917",".","gene",261874,266987,".","+",".","Pver_g18",5113
"19","Pver_Sc0000000_size2095917",".","gene",267028,276548,".","-",".","Pver_g19",9520
"20","Pver_Sc0000000_size2095917","AUGUSTUS","gene",277126,292941,".","+",".","Pver_g20",15815
"21","Pver_Sc0000000_size2095917","AUGUSTUS","gene",292947,307248,".","-",".","Pver_g21",14301
"22","Pver_Sc0000000_size2095917","AUGUSTUS","gene",316256,320084,".","+",".","Pver_g22",3828
"23","Pver_Sc0000000_size2095917",".","gene",322696,337853,".","+",".","Pver_g23",15157
"24","Pver_Sc0000000_size2095917",".","gene",337820,345238,".","-",".","Pver_g24",7418
"25","Pver_Sc0000000_size2095917",".","gene",352666,368818,".","+",".","Pver_g25",16152
"26","Pver_Sc0000000_size2095917","AUGUSTUS","gene",369078,373388,".","-",".","Pver_g26",4310
"27","Pver_Sc0000000_size2095917",".","gene",425546,433274,".","+",".","Pver_g27",7728
"28","Pver_Sc0000000_size2095917",".","gene",439118,442125,".","+",".","Pver_g28",3007
"29","Pver_Sc0000000_size2095917",".","gene",442283,452024,".","-",".","Pver_g29",9741
"30","Pver_Sc0000000_size2095917",".","gene",452154,457522,".","+",".","Pver_g30",5368
"31","Pver_Sc0000000_size2095917",".","gene",457973,466940,".","-",".","Pver_g31",8967
"32","Pver_Sc0000000_size2095917",".","gene",469022,483922,".","+",".","Pver_g32",14900
"33","Pver_Sc0000000_size2095917",".","gene",484637,487945,".","+",".","Pver_g33",3308
"34","Pver_Sc0000000_size2095917",".","gene",487838,492292,".","-",".","Pver_g34",4454
"35","Pver_Sc0000000_size2095917",".","gene",493724,502008,".","+",".","Pver_g35",8284
"36","Pver_Sc0000000_size2095917",".","gene",515741,526224,".","+",".","Pver_g36",10483
"37","Pver_Sc0000000_size2095917","AUGUSTUS","gene",530658,574542,".","+",".","Pver_g37",43884
"38","Pver_Sc0000000_size2095917",".","gene",581018,599285,".","+",".","Pver_g38",18267
"39","Pver_Sc0000000_size2095917",".","gene",599554,612430,".","-",".","Pver_g39",12876
"40","Pver_Sc0000000_size2095917","AUGUSTUS","gene",612978,617108,".","+",".","Pver_g40",4130
"41","Pver_Sc0000000_size2095917","AUGUSTUS","gene",618133,640560,".","-",".","Pver_g41",22427
"42","Pver_Sc0000000_size2095917","AUGUSTUS","gene",648208,660322,".","+",".","Pver_g42",12114
"43","Pver_Sc0000000_size2095917",".","gene",660808,667693,".","-",".","Pver_g43",6885
"44","Pver_Sc0000000_size2095917",".","gene",722403,724976,".","+",".","Pver_g44",2573
"45","Pver_Sc0000000_size2095917",".","gene",729385,736920,".","-",".","Pver_g45",7535
"46","Pver_Sc0000000_size2095917",".","gene",737058,757384,".","+",".","Pver_g46",20326
"47","Pver_Sc0000000_size2095917",".","gene",758311,761433,".","+",".","Pver_g47",3122
"48","Pver_Sc0000000_size2095917",".","gene",763178,768317,".","+",".","Pver_g48",5139
"49","Pver_Sc0000000_size2095917",".","gene",769348,772745,".","+",".","Pver_g49",3397
"50","Pver_Sc0000000_size2095917",".","gene",773312,778249,".","+",".","Pver_g50",4937
