	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g6.t1	A0A3M6V513_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00017406 PE=4 SV=1	205	5	6.50886E-125	84.96	1	F:GO:0005509	F:calcium ion binding					
true	[BLASTED]	Pver_g15.t1	A7S2W1_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g205942 PE=4 SV=1	362	5	0.0	66.95								
true	[BLASTED, MAPPED]	Pver_g16.t1	A0A3M6V0T1_POCDAFibrinogen C-terminal domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00003652 PE=4 SV=1	415	5	0.0	82.87	1	F:GO:0005201	F:extracellular matrix structural constituent					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g29.t1	A7SHV6_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g245375 PE=4 SV=1	656	5	0.0	70.96	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g32.t1	A7SI90_NEMVEPredicted protein OS=Nematostella vectensis OX=45351 GN=v1g245456 PE=4 SV=1	688	5	0.0	82.73	1	F:GO:0005509	F:calcium ion binding					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g33.t1	A0A2B4SSI3_STYPIUncharacterized protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene3807 PE=4 SV=1	555	5	0.0	71.01	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g48.t1	A0A2B4SS86_STYPIig domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene3786 PE=4 SV=1	251	5	0.0	71.99	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g49.t1	A0A3M6V1V4_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00003604 PE=4 SV=1	102	2	4.59306E-66	89.11	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g50.t1	A0A3M6V0S2_POCDAIg-like domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00003603 PE=4 SV=1	246	2	3.0402E-144	92.5	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g51.t1	A0A3M6V0W6_POCDAIg-like domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00003602 PE=4 SV=1	222	5	1.24845E-143	69.61	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g52.t1	A0A3M6V0S0_POCDAIg-like domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00003601 PE=4 SV=1	211	5	5.75117E-150	70.49	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g59.t1	A0A2B4S501_STYPIProtein sidekick-2 (Fragment) OS=Stylophora pistillata OX=50429 GN=Sdk2 PE=4 SV=1	207	5	2.26248E-87	76.43	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	Pver_g63.t1	A0A2B4T1A0_STYPIC2H2-type domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene58 PE=4 SV=1	375	5	1.75871E-141	84.82								
true	[BLASTED]	Pver_g67.t1	A0A3M6THD9_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00021466 PE=4 SV=1	131	1	1.96309E-83	92.03								
true	[BLASTED, MAPPED]	Pver_g69.t1	A0A2B4RMZ2_STYPIUncharacterized protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene17475 PE=4 SV=1	74	1	6.98092E-12	71.19	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
true	[BLASTED, MAPPED]	Pver_g87.t1	A0A3M6UUW2_POCDAUncharacterized protein OS=Pocillopora damicornis OX=46731 GN=pdam_00016015 PE=4 SV=1	272	4	5.50049E-180	69.71	3	P:GO:0007160; F:GO:0005509; C:GO:0005576	P:cell-matrix adhesion; F:calcium ion binding; C:extracellular region					
true	[BLASTED, MAPPED]	Pver_g96.t1	A0A3M6TYU5_POCDADUF3504 domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00000549 PE=4 SV=1	267	5	3.00213E-130	71.59	3	P:GO:0006310; P:GO:0015074; F:GO:0003677	P:DNA recombination; P:DNA integration; F:DNA binding					
true	[BLASTED, MAPPED, ANNOTATED]	Pver_g98.t1	A0A3M6TYC4_POCDAEGF-like domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00000550 PE=4 SV=1	282	5	4.6699E-111	90.84	1	F:GO:0005509	F:calcium ion binding					
