"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","ontology","term"
"1","K13352",0.00430194716644702,1,1,1,"KEGG","peroxin-11B"
"2","GO:0016021",0.00490753251597924,0.997151943359134,44,4481,"KEGG",NA
"3","K20369",0.00512405829943183,1,1,1,"KEGG","ER-derived vesicles protein"
"4","GO:0031362",0.00657866387816006,0.999761319152237,2,21,"KEGG",NA
"5","K22282",0.0075246979714237,1,1,1,"KEGG","fatty acid hydroxylase domain-containing protein 2"
"6","K09546",0.00810320105753199,1,1,1,"KEGG","heat shock protein beta-7"
"7","K19375",0.00820290742758187,1,1,1,"KEGG","HSPB1-associated protein 1"
"8","K03363",0.00887071773256434,1,1,1,"KEGG","cell division cycle 20, cofactor of APC complex"
"10","K07562",0.00901357548271686,1,1,1,"KEGG","nonsense-mediated mRNA decay protein 3"
"11","K02608",0.00901988832781288,1,1,1,"KEGG","origin recognition complex subunit 6"
"12","K09849",0.00903804415279247,1,1,1,"KEGG","TNF receptor-associated factor 5"
"13","K07975",0.00903811983799954,1,1,1,"KEGG","Rho family, other"
"14","K23730",0.00903811983853743,1,1,1,"KEGG","coiled-coil domain-containing protein 40"
"15","K01254",0.00903811983858408,1,1,1,"KEGG","leukotriene-A4 hydrolase [EC:3.3.2.6]"
"16","K03252",0.0090381198385909,1,1,1,"KEGG","translation initiation factor 3 subunit C"
"17","K12657",0.00903811983859464,1,1,1,"KEGG","delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41]"
"18","K07223",0.00903811983859464,1,1,1,"KEGG","porphyrinogen peroxidase [EC:1.11.1.-]"
"19","K10392",0.00903811983859464,1,1,1,"KEGG","kinesin family member 1"
"20","GO:0032270",0.00957276912667022,0.99904043983646,3,55,"KEGG",NA
"21","K07232",0.0108849902730637,0.999970388249179,1,2,"KEGG","glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]"
"23","K07305",0.0117366258295684,0.999965558496362,1,2,"KEGG","peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]"
"25","K09542",0.0122814296607646,0.999962276367725,1,2,"KEGG","crystallin, alpha B"
"27","K00253",0.013027399645074,0.999957538473128,1,2,"KEGG","isovaleryl-CoA dehydrogenase [EC:1.3.8.4]"
"29","K19465",0.0143527957079863,0.999948424242788,1,2,"KEGG","mitochondrial genome maintenance exonuclease 1 [EC:3.1.-.-]"
"31","K13698",0.0145783098689682,0.999946784670764,1,2,"KEGG","abhydrolase domain-containing protein 4"
"33","K13699",0.0145783098689682,0.999946784670764,1,2,"KEGG","abhydrolase domain-containing protein 5 [EC:2.3.1.51]"
"35","K01667",0.0151949604777998,0.999942169393453,1,2,"KEGG","tryptophanase [EC:4.1.99.1]"
"37","K23677",0.0156060252912015,0.999938985362245,1,2,"KEGG","MFS transporter, Spinster family, sphingosine-1-phosphate transporter"
"39","K23224",0.0174406072770219,0.999923725681465,1,2,"KEGG","spermatogenesis-associated protein 6"
"41","K03175",0.0179700393495131,0.999919002731621,1,2,"KEGG","TNF receptor-associated factor 6 [EC:2.3.2.27]"
"43","K05681",0.0179911206198638,0.999918811706305,1,2,"KEGG","ATP-binding cassette, subfamily G (WHITE), member 2"
"45","K00318",0.0179920311891441,0.999918803450179,1,2,"KEGG","proline dehydrogenase [EC:1.5.5.2]"
"47","K00844",0.0189295930732638,0.999880231529339,1,3,"KEGG","hexokinase [EC:2.7.1.1]"
"50","K04513",0.0227068022111526,0.999827369947912,1,3,"KEGG","Ras homolog gene family, member A"
"53","K00789",0.0233124637153547,0.999817987856381,1,3,"KEGG","S-adenosylmethionine synthetase [EC:2.5.1.6]"
"56","K19766",0.0233319901956017,0.999781447982155,1,5,"KEGG","heat shock protein Hsp-16.1/Hsp-16.11"
"61","K17924",0.0237213564719723,0.999811511953933,1,3,"KEGG","sorting nexin-10/11"
"64","K08187",0.0245742972073291,0.998178374697343,2,31,"KEGG","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10"
"95","K24205",0.0255153199812719,0.999781746408701,1,3,"KEGG","protein lifeguard"
"98","K01874",0.0266528372546399,0.999732147063319,1,4,"KEGG","methionyl-tRNA synthetase [EC:6.1.1.10]"
"102","GO:0099060",0.0273691965420445,0.99784469249825,2,33,"KEGG",NA
"103","K00461",0.0354918658987887,0.999523226378484,1,4,"KEGG","arachidonate 5-lipoxygenase [EC:1.13.11.34]"
"107","K18422",0.0356680361163949,0.999518445056119,1,4,"KEGG","helicase MOV-10 [EC:3.6.4.13]"
"111","K11592",0.0356680364898215,0.999518445045958,1,4,"KEGG","endoribonuclease Dicer [EC:3.1.26.-]"
"115","K08145",0.0405069558616242,0.999336592830987,1,5,"KEGG","MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 8"
"120","K09627",0.0438422473105652,0.99918975038161,1,6,"KEGG","serine protease 23 [EC:3.4.21.-]"
"126","K19921",0.0443855921801073,0.999202182585147,1,5,"KEGG","polycystic kidney disease and receptor for egg jelly-related protein"
