Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M202110205BF3C56A578D7D6DFD1FC81EE5DA77302442E97
A0A2B4S3R3	A0A2B4S3R3_STYPI	unreviewed	AWC38_SpisGene12281	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1652	integral component of membrane [GO:0016021]	GO:0016021	PFX23198.1
A0A3M6T961	A0A3M6T961_POCDA	unreviewed	pdam_00024510	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	484			RMX37804.1
A0A3M6U9W2	A0A3M6U9W2_POCDA	unreviewed	pdam_00022727	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	563	signal transduction [GO:0007165]	GO:0007165	RMX50376.1
A0A081KBP7	A0A081KBP7_9GAMM	unreviewed	dinB GV64_13235	Endozoicomonas elysicola	DNA polymerase IV (Pol IV) (EC 2.7.7.7)	375	cytoplasm [GO:0005737]; damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]; magnesium ion binding [GO:0000287]; DNA repair [GO:0006281]; DNA-dependent DNA replication [GO:0006261]	GO:0000287; GO:0003684; GO:0003887; GO:0005737; GO:0006261; GO:0006281	KEI71573.1
A0A6J8DBM7	A0A6J8DBM7_MYTCO	unreviewed	MCOR_38812	Mytilus coruscus (Sea mussel)	Uncharacterized protein	879	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	CAC5405091.1
A0A2B4SXI8	A0A2B4SXI8_STYPI	unreviewed	AWC38_SpisGene1309	Stylophora pistillata (Smooth cauliflower coral)	Putative transposase-like protein	398			PFX33813.1
A0A2B4RWE2	A0A2B4RWE2_STYPI	unreviewed	AWC38_SpisGene14428	Stylophora pistillata (Smooth cauliflower coral)	RING-type domain-containing protein	412	metal ion binding [GO:0046872]	GO:0046872	PFX21103.1
A0A081K6C7	A0A081K6C7_9GAMM	unreviewed	GV64_02150	Endozoicomonas elysicola	FAD_binding_3 domain-containing protein	413	FAD binding [GO:0071949]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; ubiquinone biosynthetic process [GO:0006744]	GO:0006744; GO:0016709; GO:0071949	KEI69703.1
A0A2B4S6C9	A0A2B4S6C9_STYPI	unreviewed	GBP3 AWC38_SpisGene10781	Stylophora pistillata (Smooth cauliflower coral)	Guanylate-binding protein 3	919	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	PFX24609.1
A0A3M6TMU8	A0A3M6TMU8_POCDA	unreviewed	pdam_00010280	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	207	integral component of membrane [GO:0016021]	GO:0016021	RMX42641.1
A0A2B4RT70	A0A2B4RT70_STYPI	unreviewed	AWC38_SpisGene16066	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	674	RNA binding [GO:0003723]	GO:0003723	PFX19518.1
A0A3M6UIH7	A0A3M6UIH7_POCDA	unreviewed	pdam_00025832	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	650			RMX53490.1
A0A2B4SFK7	A0A2B4SFK7_STYPI	unreviewed	Cacna2d2 AWC38_SpisGene8088	Stylophora pistillata (Smooth cauliflower coral)	Voltage-dependent calcium channel subunit alpha-2/delta-2	1606	integral component of membrane [GO:0016021]; endonuclease activity [GO:0004519]	GO:0004519; GO:0016021	PFX27225.1
A0A3M6UN26	A0A3M6UN26_POCDA	unreviewed	pdam_00020793	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Ig-like domain-containing protein (Fragment)	203			RMX54999.1
A0A2B4RGZ8	A0A2B4RGZ8_STYPI	unreviewed	PGBD5 AWC38_SpisGene20022	Stylophora pistillata (Smooth cauliflower coral)	PiggyBac transposable element-derived protein 5	1072			PFX15760.1
A0A3M6US51	A0A3M6US51_POCDA	unreviewed	pdam_00025267	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	TPR_REGION domain-containing protein (Fragment)	235			RMX56394.1
