"gene"	"pval.treatment"	"adj.pval.treatment"	"SWISS_Description"	"SWISS_Length"	"SWISS_.Hits"	"SWISS_e.Value"	"SWISS_sim.mean"	"SWISS_.GO"	"SWISS_GO.IDs"	"SWISS_GO.Names"	"SWISS_Enzyme.Codes"	"SWISS_Enzyme.Names"	"TREMBL_Description"	"TREMBL_Length"	"TREMBL_.Hits"	"TREMBL_e.Value"	"TREMBL_sim.mean"	"TREMBL_.GO"	"TREMBL_GO.IDs"	"TREMBL_GO.Names"	"TREMBL_Enzyme.Codes"	"TREMBL_Enzyme.Names"	"INTERPRO_Length"	"InterPro.IDs"	"InterPro.GO.IDs"	"InterPro.GO.Names"	"BLAST_Description"	"BLAST_Length"	"BLAST_.Hits"	"BLAST_e.Value"	"BLAST_sim.mean"	"BLAST_.GO"	"BLAST_GO.IDs"	"BLAST_GO.Names"	"BLAST_Enzyme.Codes"	"BLAST_Enzyme.Names"
"Pver_gene_g16653"	1.267120342893e-242	2.41259713286827e-239	"IF2H_RATEukaryotic translation initiation factor 2 subunit 3, Y-linked OS=Rattus norvegicus OX=10116 GN=Eif2s3y PE=2 SV=2"	3754	5	0	90.89	9	"P:GO:0001731; P:GO:0045903; F:GO:0000049; F:GO:0003743; F:GO:0003924; F:GO:0005515; F:GO:0005525; C:GO:0005829; C:GO:0005850"	"P:formation of translation preinitiation complex; P:positive regulation of translational fidelity; F:tRNA binding; F:translation initiation factor activity; F:GTPase activity; F:protein binding; F:GTP binding; C:cytosol; C:eukaryotic translation initiation factor 2 complex"	"EC:3.6.1"	"Acting on acid anhydrides"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3753	"IPR000795 (PRINTS); IPR019734 (SMART); PF13424 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR005142 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR036890 (G3DSA:3.30.565.GENE3D); IPR029064 (G3DSA:3.30.1330.GENE3D); IPR029064 (G3DSA:3.30.1330.GENE3D); IPR001296 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); G3DSA:2.40.30.10 (GENE3D); IPR024983 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); PF13589 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR015256 (PFAM); IPR024983 (PFAM); G3DSA:2.40.30.10 (GENE3D); IPR000795 (PFAM); IPR004161 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); G3DSA:3.40.50.2000 (GENE3D); IPR019734 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR10098 (PANTHER); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR000795 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR000795 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); cd01889 (CDD); IPR044127 (CDD); IPR015256 (CDD); cd03801 (CDD); IPR011990 (SUPERFAMILY); IPR029064 (SUPERFAMILY); IPR009000 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR027417 (SUPERFAMILY); IPR029064 (SUPERFAMILY); IPR011990 (SUPERFAMILY); SSF53756 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR009001 (SUPERFAMILY); IPR036890 (SUPERFAMILY); IPR027417 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY)"	"F:GO:0000049; F:GO:0003924; F:GO:0005515; F:GO:0005525; F:GO:0016757"	"F:tRNA binding; F:GTPase activity; F:protein binding; F:GTP binding; F:glycosyltransferase activity"	"RMX59867.1"	3754	1	1.6e-236	83.47	NA	NA	NA	NA	NA
"Pver_gene_g19288"	2.73051750006632e-205	2.59945266006314e-202	NA	830	NA	NA	NA	NA	NA	NA	NA	NA	"A0A6S7G461_PARCTExonuclease R569 OS=Paramuricea clavata OX=317549 GN=PACLA_6A061727 PE=4 SV=1"	830	5	0	68.43	3	"P:GO:0090305; F:GO:0003676; F:GO:0008408"	"P:nucleic acid phosphodiester bond hydrolysis; F:nucleic acid binding; F:3'-5' exonuclease activity"	"EC:3.1"	"Acting on ester bonds"	829	"IPR036397 (G3DSA:3.30.420.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR13058:SF19 (PANTHER); IPR040393 (PANTHER); IPR012337 (SUPERFAMILY)"	"F:GO:0003676; F:GO:0008408"	"F:nucleic acid binding; F:3'-5' exonuclease activity"	"RMX57600.1"	830	1	0	88.42	3	"P:GO:0090305; F:GO:0003676; F:GO:0008408"	"P:nucleic acid phosphodiester bond hydrolysis; F:nucleic acid binding; F:3'-5' exonuclease activity"	"EC:3.1"	"Acting on ester bonds"
"Pver_gene_g23213"	2.55942483259768e-142	1.62438162708866e-139	"TTC28_MOUSETetratricopeptide repeat protein 28 OS=Mus musculus OX=10090 GN=Ttc28 PE=1 SV=3"	3359	5	5.18e-128	47.59	22	"P:GO:0003014; P:GO:0006811; P:GO:0006873; P:GO:0006952; P:GO:0007588; P:GO:0010033; P:GO:0033554; P:GO:0044267; P:GO:0050794; P:GO:0055065; P:GO:0055067; P:GO:0055081; P:GO:0071702; P:GO:0072234; F:GO:0005515; C:GO:0005576; C:GO:0005737; C:GO:0005819; C:GO:0012505; C:GO:0042995; C:GO:0043231; C:GO:0098590"	"P:renal system process; P:ion transport; P:cellular ion homeostasis; P:defense response; P:excretion; P:response to organic substance; P:cellular response to stress; P:cellular protein metabolic process; P:regulation of cellular process; P:metal ion homeostasis; P:monovalent inorganic cation homeostasis; P:anion homeostasis; P:organic substance transport; P:metanephric nephron tubule development; F:protein binding; C:extracellular region; C:cytoplasm; C:spindle; C:endomembrane system; C:cell projection; C:intracellular membrane-bounded organelle; C:plasma membrane region"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3358	"IPR001881 (SMART); IPR000742 (SMART); IPR019734 (SMART); PF13374 (PFAM); IPR001881 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); G3DSA:2.10.25.10 (GENE3D); IPR041617 (PFAM); IPR024731 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); PF13424 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR024983 (PFAM); PTHR10098:SF106 (PANTHER); PTHR10098 (PANTHER); PTHR10098 (PANTHER); PTHR10098 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098 (PANTHER); PTHR10098 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098:SF106 (PANTHER); PTHR10098 (PANTHER); IPR000742 (PROSITE_PATTERNS); IPR000742 (PROSITE_PATTERNS); IPR018097 (PROSITE_PATTERNS); IPR000742 (PROSITE_PATTERNS); IPR000742 (PROSITE_PATTERNS); IPR000152 (PROSITE_PATTERNS); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); PS50293 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); cd00054 (CDD); cd00054 (CDD); cd00054 (CDD); cd00054 (CDD); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); SSF57196 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); SSF57196 (SUPERFAMILY); IPR011990 (SUPERFAMILY); SSF57196 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY); SSF57196 (SUPERFAMILY)"	"F:GO:0005509; F:GO:0005515"	"F:calcium ion binding; F:protein binding"	"RMX50647.1"	3359	1	7e-236	86.88	NA	NA	NA	NA	NA
"Pver_gene_g8436"	4.68719511508486e-141	2.23110487478039e-138	"POL3_DROMERetrovirus-related Pol polyprotein from transposon 17.6 OS=Drosophila melanogaster OX=7227 GN=pol PE=4 SV=1"	3349	5	1.08e-69	46.76	5	"P:GO:0090304; F:GO:0016787; F:GO:0097159; F:GO:1901363; C:GO:0005622"	"P:nucleic acid metabolic process; F:hydrolase activity; F:organic cyclic compound binding; F:heterocyclic compound binding; C:intracellular anatomical structure"	"EC:3"	"Hydrolases"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3347	"Coil (COILS); Coil (COILS); Coil (COILS); IPR036397 (G3DSA:3.30.420.GENE3D); IPR043128 (G3DSA:3.30.70.GENE3D); IPR013083 (G3DSA:3.30.40.GENE3D); IPR013762 (G3DSA:1.10.443.GENE3D); IPR036397 (G3DSA:3.30.420.GENE3D); IPR043128 (G3DSA:3.30.70.GENE3D); IPR036397 (G3DSA:3.30.420.GENE3D); IPR010998 (G3DSA:1.10.150.GENE3D); IPR004868 (PFAM); G3DSA:3.40.960.10 (GENE3D); IPR041577 (PFAM); G3DSA:3.10.10.10 (GENE3D); IPR041588 (PFAM); IPR000477 (PFAM); G3DSA:1.10.340.70 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR34072 (PANTHER); PTHR34072:SF9 (PANTHER); PTHR34072:SF9 (PANTHER); PTHR34072:SF9 (PANTHER); PTHR34072 (PANTHER); PTHR34072 (PANTHER); IPR001584 (PROSITE_PROFILES); IPR000477 (PROSITE_PROFILES); cd09274 (CDD); cd01647 (CDD); cd09275 (CDD); cd05481 (CDD); IPR012337 (SUPERFAMILY); IPR043502 (SUPERFAMILY); IPR043502 (SUPERFAMILY); IPR012337 (SUPERFAMILY); IPR012337 (SUPERFAMILY); IPR011010 (SUPERFAMILY); SSF47823 (SUPERFAMILY); IPR043502 (SUPERFAMILY); IPR011335 (SUPERFAMILY)"	"P:GO:0006260; P:GO:0006310; P:GO:0015074; F:GO:0000166; F:GO:0003676; F:GO:0003677; F:GO:0003887"	"P:DNA replication; P:DNA recombination; P:DNA integration; F:nucleotide binding; F:nucleic acid binding; F:DNA binding; F:DNA-directed DNA polymerase activity"	"XP_015765573.1"	3349	1	0	53.72	NA	NA	NA	NA	NA
"Pver_gene_g20776"	4.62006872469983e-89	1.7593221703657e-86	NA	721	NA	NA	NA	NA	NA	NA	NA	NA	"A0A2B4REJ3_STYPIS-antigen protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene21118 PE=4 SV=1"	721	5	0	76.86	4	"P:GO:0061400; F:GO:0003700; F:GO:0008270; C:GO:0016021"	"P:positive regulation of transcription from RNA polymerase II promoter in response to calcium ion; F:DNA-binding transcription factor activity; F:zinc ion binding; C:integral component of membrane"	NA	NA	720	"Coil (COILS); Coil (COILS); PTHR37162:SF1 (PANTHER); PTHR37162 (PANTHER); IPR012337 (SUPERFAMILY)"	NA	NA	"XP_027046674.1"	721	1	0	99.72	NA	NA	NA	NA	NA
"Pver_gene_g3320"	1.62815572214187e-69	5.1666808249302e-67	NA	473	NA	NA	NA	NA	NA	NA	NA	NA	"A0A2B4SJE5_STYPISEFIR domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene5244 PE=4 SV=1"	473	5	8.05e-131	79.59	3	"P:GO:0007399; F:GO:0005102; C:GO:0016021"	"P:nervous system development; F:signaling receptor binding; C:integral component of membrane"	NA	NA	472	"IPR013783 (G3DSA:2.60.40.GENE3D); IPR038683 (G3DSA:2.60.40.GENE3D); IPR000477 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR33332 (PANTHER); PTHR33332:SF23 (PANTHER); IPR036179 (SUPERFAMILY)"	NA	NA	"XP_027044247.1"	473	1	1.6e-109	74.54	NA	NA	NA	NA	NA
"Pver_gene_g20104"	1.96779379300332e-67	5.35239911696903e-65	NA	1229	NA	NA	NA	NA	NA	NA	NA	NA	"A0A6S7L6R6_PARCTCleavage and polyadenylation specificity factor subunit 4 OS=Paramuricea clavata OX=317549 GN=PACLA_6A067799 PE=4 SV=1"	1229	5	7.05e-117	63.8	4	"P:GO:0015074; F:GO:0003676; F:GO:0008270; F:GO:0046872"	"P:DNA integration; F:nucleic acid binding; F:zinc ion binding; F:metal ion binding"	NA	NA	1229	"Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); IPR021109 (G3DSA:2.40.70.GENE3D); IPR008737 (PFAM); IPR008042 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR22955 (PANTHER); PTHR22955 (PANTHER); PTHR22955:SF60 (PANTHER); PTHR22955:SF60 (PANTHER); IPR001878 (PROSITE_PROFILES); IPR043502 (SUPERFAMILY)"	"F:GO:0003676; F:GO:0008270"	"F:nucleic acid binding; F:zinc ion binding"	"XP_028404050.1"	1229	1	5.5e-255	41.28	NA	NA	NA	NA	NA
"Pver_gene_g20246"	5.15238836533198e-64	1.22626843094901e-61	NA	888	NA	NA	NA	NA	NA	NA	NA	NA	"A0A3M6U888_POCDACore-binding (CB) domain-containing protein OS=Pocillopora damicornis OX=46731 GN=pdam_00025583 PE=4 SV=1"	888	5	0	75.23	3	"P:GO:0006310; P:GO:0015074; F:GO:0003677"	"P:DNA recombination; P:DNA integration; F:DNA binding"	NA	NA	887	"IPR013762 (G3DSA:1.10.443.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR044068 (PROSITE_PROFILES); IPR011010 (SUPERFAMILY)"	"P:GO:0006310; P:GO:0015074; F:GO:0003677"	"P:DNA recombination; P:DNA integration; F:DNA binding"	"RMX49847.1"	888	1	0	99.19	3	"P:GO:0006310; P:GO:0015074; F:GO:0003677"	"P:DNA recombination; P:DNA integration; F:DNA binding"	NA	NA
"Pver_gene_g16429"	2.19591454416195e-63	4.64557921342706e-61	"POL3_DROMERetrovirus-related Pol polyprotein from transposon 17.6 OS=Drosophila melanogaster OX=7227 GN=pol PE=4 SV=1"	1775	5	4.38e-103	54.72	7	"P:GO:0006259; F:GO:0004518; F:GO:0016740; F:GO:0097159; F:GO:0140640; F:GO:1901363; C:GO:0005634"	"P:DNA metabolic process; F:nuclease activity; F:transferase activity; F:organic cyclic compound binding; F:catalytic activity, acting on a nucleic acid; F:heterocyclic compound binding; C:nucleus"	"EC:3.1; EC:2"	"Acting on ester bonds; Transferases"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1774	"Coil (COILS); Coil (COILS); Coil (COILS); IPR001878 (SMART); IPR021109 (G3DSA:2.40.70.GENE3D); IPR041588 (PFAM); IPR043128 (G3DSA:3.30.70.GENE3D); IPR000477 (PFAM); IPR036397 (G3DSA:3.30.420.GENE3D); IPR043128 (G3DSA:3.30.70.GENE3D); G3DSA:4.10.60.10 (GENE3D); G3DSA:3.10.10.10 (GENE3D); IPR041577 (PFAM); G3DSA:1.10.340.70 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24559:SF324 (PANTHER); PTHR24559 (PANTHER); IPR001969 (PROSITE_PATTERNS); IPR001878 (PROSITE_PROFILES); IPR000477 (PROSITE_PROFILES); cd09274 (CDD); cd00303 (CDD); cd01647 (CDD); IPR036875 (SUPERFAMILY); IPR021109 (SUPERFAMILY); IPR012337 (SUPERFAMILY); IPR043502 (SUPERFAMILY)"	"P:GO:0006508; F:GO:0003676; F:GO:0004190; F:GO:0008270"	"P:proteolysis; F:nucleic acid binding; F:aspartic-type endopeptidase activity; F:zinc ion binding"	"XP_020629946.1"	1775	1	0	48.51	NA	NA	NA	NA	NA
"Pver_gene_g18663"	8.59512981474706e-54	1.63651271672784e-51	NA	773	NA	NA	NA	NA	NA	NA	NA	NA	"A0A2B4RJY1_STYPIDUF5641 domain-containing protein OS=Stylophora pistillata OX=50429 GN=AWC38_SpisGene19151 PE=4 SV=1"	773	5	4.63e-174	77.36	3	"P:GO:0015074; F:GO:0003676; F:GO:0008270"	"P:DNA integration; F:nucleic acid binding; F:zinc ion binding"	NA	NA	772	"G3DSA:3.10.10.10 (GENE3D); G3DSA:3.10.10.10 (GENE3D); IPR043128 (G3DSA:3.30.70.GENE3D); IPR043128 (G3DSA:3.30.70.GENE3D); IPR021109 (G3DSA:2.40.70.GENE3D); PTHR22955:SF60 (PANTHER); PTHR22955 (PANTHER); PTHR22955 (PANTHER); IPR043502 (SUPERFAMILY); IPR021109 (SUPERFAMILY); IPR043502 (SUPERFAMILY)"	NA	NA	"XP_029206177.1"	773	1	2.8e-188	75.94	NA	NA	NA	NA	NA
