Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M20211020A084FC58F6BBA219896F365D15F2EB44240118W
A0A3M6TM96	A0A3M6TM96_POCDA	unreviewed	pdam_00010875	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	139			RMX42480.1
A0A3M6TM41	A0A3M6TM41_POCDA	unreviewed	pdam_00010867	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2236			RMX42449.1
A0A2B4RRD2	A0A2B4RRD2_STYPI	unreviewed	LRRC1 AWC38_SpisGene14526	Stylophora pistillata (Smooth cauliflower coral)	Leucine-rich repeat-containing protein 1	2381	nucleotide binding [GO:0000166]; signal transduction [GO:0007165]	GO:0000166; GO:0007165	PFX21004.1
A0A2B4RDG6	A0A2B4RDG6_STYPI	unreviewed	Sart3 AWC38_SpisGene21474	Stylophora pistillata (Smooth cauliflower coral)	Squamous cell carcinoma antigen recognized by T-cells 3	1372	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; RNA processing [GO:0006396]	GO:0003723; GO:0005654; GO:0005737; GO:0006396	PFX14377.1
A0A2B4REC2	A0A2B4REC2_STYPI	unreviewed	TY3B-I AWC38_SpisGene21137	Stylophora pistillata (Smooth cauliflower coral)	Transposon Ty3-I Gag-Pol polyprotein	1375	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074	PFX14687.1
A0A3M6U096	A0A3M6U096_POCDA	unreviewed	pdam_00009591	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Alpha-helical coiled-coil rod protein (Coiled-coil alpha-helical rod protein 1)	925	cytoplasm [GO:0005737]; nucleus [GO:0005634]; cell differentiation [GO:0030154]	GO:0005634; GO:0005737; GO:0030154	RMX47037.1
A0A3M6UXU7	A0A3M6UXU7_POCDA	unreviewed	pdam_00010737	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	MFS domain-containing protein	414	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857	RMX58506.1
A0A3M6UY12	A0A3M6UY12_POCDA	unreviewed	pdam_00010742	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Glutaredoxin-like protein	129			RMX58500.1
A0A3M6UY10	A0A3M6UY10_POCDA	unreviewed	pdam_00010747	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (EC 1.3.1.39) (EC 2.3.1.41) (EC 3.1.2.14) (3-oxoacyl-[acyl-carrier-protein] synthase) (Acyl-[acyl-carrier-protein] hydrolase) (Enoyl-[acyl-carrier-protein] reductase) ([Acyl-carrier-protein] S-acetyltransferase) ([Acyl-carrier-protein] S-malonyltransferase)	3548	integral component of membrane [GO:0016021]; (3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659]; 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity [GO:0008693]; 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451]; 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]; 3-oxo-glutaryl-[acp] methyl ester reductase activity [GO:0102131]; 3-oxo-pimeloyl-[acp] methyl ester reductase activity [GO:0102132]; 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity [GO:0047117]; myristoyl-[acyl-carrier-protein] hydrolase activity [GO:0016295]; oleoyl-[acyl-carrier-protein] hydrolase activity [GO:0004320]; palmitoyl-[acyl-carrier-protein] hydrolase activity [GO:0016296]; fatty acid biosynthetic process [GO:0006633]	GO:0004313; GO:0004315; GO:0004316; GO:0004317; GO:0004320; GO:0006633; GO:0008659; GO:0008693; GO:0016021; GO:0016295; GO:0016296; GO:0047117; GO:0047451; GO:0102131; GO:0102132	RMX58497.1
A0A3M6UXU6	A0A3M6UXU6_POCDA	unreviewed	pdam_00010751	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	PKS_AT domain-containing protein	835	transferase activity [GO:0016740]; fatty acid biosynthetic process [GO:0006633]	GO:0006633; GO:0016740	RMX58485.1
A0A2B4RDR2	A0A2B4RDR2_STYPI	unreviewed	AWC38_SpisGene21205	Stylophora pistillata (Smooth cauliflower coral)	Reticulocyte-binding protein 2-like a	1215			PFX14620.1
A0A3M6TC73	A0A3M6TC73_POCDA	unreviewed	pdam_00019523	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Molybdenum cofactor biosynthesis protein C (EC 4.6.1.17)	273	cyclic pyranopterin monophosphate synthase activity [GO:0061799]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	GO:0006777; GO:0061799	RMX39017.1
A0A3M6U2U6	A0A3M6U2U6_POCDA	unreviewed	pdam_00010636	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	414			RMX47879.1
A0A3M6U324	A0A3M6U324_POCDA	unreviewed	pdam_00010639	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	915	integral component of membrane [GO:0016021]; secretory granule [GO:0030141]; protein tyrosine phosphatase activity [GO:0004725]	GO:0004725; GO:0016021; GO:0030141	RMX47878.1
A0A3M6U2Q0	A0A3M6U2Q0_POCDA	unreviewed	pdam_00010645	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	302	integral component of membrane [GO:0016021]	GO:0016021	RMX47891.1
A0A3M6U2R0	A0A3M6U2R0_POCDA	unreviewed	pdam_00010652	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1960			RMX47910.1
A0A2B4RR84	A0A2B4RR84_STYPI	unreviewed	AWC38_SpisGene16845	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	299	integral component of membrane [GO:0016021]	GO:0016021	PFX18775.1
A0A2B4RSC1	A0A2B4RSC1_STYPI	unreviewed	nphp3 AWC38_SpisGene16343	Stylophora pistillata (Smooth cauliflower coral)	Nephrocystin-3	1797			PFX19228.1
A0A3M6UQG7	A0A3M6UQG7_POCDA	unreviewed	pdam_00006243	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	411			RMX55916.1
A0A3M6TAR5	A0A3M6TAR5_POCDA	unreviewed	pdam_00015230	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	339			RMX38490.1
A0A2B4SR91	A0A2B4SR91_STYPI	unreviewed	fgfr1a AWC38_SpisGene4146	Stylophora pistillata (Smooth cauliflower coral)	Fibroblast growth factor receptor 1-A	1101	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	GO:0007165; GO:0016021	PFX31052.1
A0A3M6UZU0	A0A3M6UZU0_POCDA	unreviewed	pdam_00007735	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1325	integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]	GO:0004222; GO:0004252; GO:0008270; GO:0016021	RMX59211.1
A0A3M6TV65	A0A3M6TV65_POCDA	unreviewed	pdam_00022783	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	263			RMX45154.1
A0A2B4SA48	A0A2B4SA48_STYPI	unreviewed	AWC38_SpisGene9983	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	222	nucleic acid binding [GO:0003676]	GO:0003676	PFX25402.1
A0A3M6UT88	A0A3M6UT88_POCDA	unreviewed	pdam_00023331	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	491	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	RMX56881.1
A0A2B4R8M6	A0A2B4R8M6_STYPI	unreviewed	TTC28 AWC38_SpisGene23382	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1474			PFX12625.1
A0A2B4STF5	A0A2B4STF5_STYPI	unreviewed	pol AWC38_SpisGene2762	Stylophora pistillata (Smooth cauliflower coral)	Pol polyprotein	2471	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0008270; GO:0015074	PFX32353.1
A0A2B4SKT4	A0A2B4SKT4_STYPI	unreviewed	F54H12.3 AWC38_SpisGene5776	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized transposon-derived protein F54H12.3	1308	cysteine-type peptidase activity [GO:0008234]; helicase activity [GO:0004386]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0004386; GO:0008234; GO:0015074; GO:0046872	PFX29480.1
A0A2B4RE88	A0A2B4RE88_STYPI	unreviewed	NRP1 AWC38_SpisGene19805	Stylophora pistillata (Smooth cauliflower coral)	Neuropilin-1	1461	integral component of membrane [GO:0016021]	GO:0016021	PFX15951.1
A0A3M6T9Z7	A0A3M6T9Z7_POCDA	unreviewed	pdam_00003370	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	454	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0004497; GO:0005506; GO:0016705; GO:0020037	RMX38207.1
A0A3M6TA20	A0A3M6TA20_POCDA	unreviewed	pdam_00003372	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Mab-21 domain-containing protein	486	integral component of membrane [GO:0016021]	GO:0016021	RMX38240.1
A0A2B4R8Q2	A0A2B4R8Q2_STYPI	unreviewed	AWC38_SpisGene23343	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1851			PFX12655.1
A0A3M6U5F0	A0A3M6U5F0_POCDA	unreviewed	pdam_00008312	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	248			RMX48903.1
A0A3M6TSE5	A0A3M6TSE5_POCDA	unreviewed	pdam_00019514	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	RING-type domain-containing protein (Fragment)	209	integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]	GO:0016021; GO:0046872	RMX44261.1
A0A3M6V4U2	A0A3M6V4U2_POCDA	unreviewed	pdam_00023803	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	253			RMX60966.1
A0A3M6UDB6	A0A3M6UDB6_POCDA	unreviewed	pdam_00020299	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	766	integral component of membrane [GO:0016021]	GO:0016021	RMX51652.1
A0A3M6T4V5	A0A3M6T4V5_POCDA	unreviewed	pdam_00021769	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	333	integral component of membrane [GO:0016021]	GO:0016021	RMX35773.1
A0A2B4RJK3	A0A2B4RJK3_STYPI	unreviewed	Notch2 AWC38_SpisGene19041	Stylophora pistillata (Smooth cauliflower coral)	Neurogenic locus notch-like protein 2	2132	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]	GO:0005509; GO:0016021	PFX16670.1
A0A3M6UVP7	A0A3M6UVP7_POCDA	unreviewed	pdam_00006772	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase (EC 2.4.1.135)	311	Golgi membrane [GO:0000139]; galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity [GO:0015018]; metal ion binding [GO:0046872]; protein glycosylation [GO:0006486]	GO:0000139; GO:0006486; GO:0015018; GO:0046872	RMX57783.1
A0A3M6UGA2	A0A3M6UGA2_POCDA	unreviewed	pdam_00004248	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Protein tweety homolog	532	chloride channel complex [GO:0034707]; plasma membrane [GO:0005886]; chloride channel activity [GO:0005254]; chloride transport [GO:0006821]	GO:0005254; GO:0005886; GO:0006821; GO:0034707	RMX52672.1
A0A2B4RY06	A0A2B4RY06_STYPI	unreviewed	PTK7 AWC38_SpisGene14298	Stylophora pistillata (Smooth cauliflower coral)	Receptor protein-tyrosine kinase (EC 2.7.10.1)	1390	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	PFX21217.1
A0A2B4RA44	A0A2B4RA44_STYPI	unreviewed	Tf2-9 AWC38_SpisGene22212	Stylophora pistillata (Smooth cauliflower coral)	Reverse transcriptase	1017	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]; DNA integration [GO:0015074]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0008270; GO:0015074	PFX13683.1
A0A2B4S712	A0A2B4S712_STYPI	unreviewed	Nlrp12 AWC38_SpisGene8868	Stylophora pistillata (Smooth cauliflower coral)	NACHT, LRR and PYD domains-containing protein 12	1176	signal transduction [GO:0007165]	GO:0007165	PFX26454.1
A0A3M6TPJ9	A0A3M6TPJ9_POCDA	unreviewed	pdam_00023462	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	1505	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]	GO:0005524; GO:0016021; GO:0042626	RMX43276.1
